State,Average_m,Median_m,Average_km,Median_km
Abia,36.22671704295792,33.889976700667084,58.3011048059139,54.54049510345156
Adamawa,74.75648949874704,63.63117099010105,120.30860880991357,102.40418872120922
Akwa-Ibom,39.334653687971816,32.20812791295907,63.30283156620056,51.83382857544155
Anambra,39.947606482409185,33.55929917012366,64.2892810164004,54.00832252644681
Bauchi,203.36020628734343,135.75032978563553,327.2757143864733,218.4684357372147
Bayelsa,50.61284027629134,41.78466315396472,81.4532683702467,67.24572980020159
Benue,62.558183678519065,59.34026841043847,100.67738732118787,95.49866756365505
Borno,113.00386535687818,105.63764135314719,181.86164067343833,170.0068817352739
Cross River,63.8839362235283,59.35568436845534,102.81097392197303,95.52347708152992
Delta,46.33932034368226,43.316957134240546,74.57572180190161,69.71171179441868
Ebonyi,187.93776244303834,174.74859408097498,302.45575861007933,281.2299023982763
Edo,49.04390803229379,47.89443369074993,78.92832295269169,77.07842791587149
Ekiti,23.72475685420886,23.000975724695515,38.18120019575249,37.01639027278148
Enugu,34.854010213450245,29.666535471126927,56.091952796914015,47.74354219510341
FCT,29.627451150069863,28.255300852520097,47.68064223385343,45.472385873994696
Gombe,48.065381354180346,43.497968753249246,77.3535408285366,70.00302103335414
Imo,29.031329219709512,25.712006883229073,46.721279366447305,41.379361157455875
Jigawa,61.927988285254855,58.06256049374858,99.66318866699204,93.44240110500934
Kaduna,135.28714724616015,94.62826993197034,217.72301754913536,152.28905993231714
Kano,53.35072524255003,47.59302935989364,85.85945616184546,76.59336587005123
Katsina,60.228391702883606,54.31531256008604,96.9279599031187,87.41180511544887
Kebbi,116.64114163519054,88.18165972603171,187.71525487917754,141.91427226349188
Kogi,138.55195845402014,91.85771742584443,222.97720881839277,147.83029896210846
Kwara,105.48780715310265,82.73012092663323,169.76574756377423,133.14089281206793
Lagos,24.494187411530692,19.63169409050363,39.419475568872805,31.59407056761111
Nasarawa,91.56911302815062,56.44372062614061,147.36583636072393,90.83713735247314
Niger,96.72555869869679,94.48173125640105,155.66431063616068,152.05322938017648
Ogun,116.40814127022642,49.960848670309346,187.3402780718262,80.40399219907565
Ondo,53.1735773099511,50.62738214163037,85.5743649079967,81.47667117581142
Osun,119.03755433470485,32.1118632099613,191.5718976930139,51.67890593831912
Oyo,60.95340768049289,57.20109575485095,98.09475711652442,92.05601144211182
Plateau,139.19143768734955,79.65764044917992,224.00634832775913,128.19622708048323
Rivers,118.8740887803849,62.00473338728533,191.30882603782462,99.78669762949377
Sokoto,162.29078402054503,72.27550510309324,261.18105035562394,116.31586138261207
Taraba,110.90923283438649,97.11995127673575,178.49066476969153,156.2990223877019
Yobe,80.24911857473384,72.54869963475886,129.14811648706217,116.75552427020283
Zamfara,114.84798748843191,58.466286529934976,184.829460184633,94.09213356408556
